symbol,session_date,expected_regular_bars,observed_regular_bars,missing_bar_count,missing_timestamps,missing_timestamps_truncated,classification
AMZN,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AMZN,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AMZN,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AMZN,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AMZN,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
AMZN,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-01-02,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-01-03,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-01-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-01-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-01-12,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-01-16,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
AVGO,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-01-02,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-01-03,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-01-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-01-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-01-12,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-01-16,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
GOOGL,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-01-02,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-01-03,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-01-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-01-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-01-12,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-01-16,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
JPM,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-01-02,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-01-03,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-01-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-01-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-01-12,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-01-16,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
META,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-01-02,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-01-03,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-01-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-01-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-01-12,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-01-16,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
MSFT,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-01-02,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-01-03,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-01-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-01-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-01-12,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-01-16,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
NVDA,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-01-02,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-01-03,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-01-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-01-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-01-12,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-01-16,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
QQQ,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-01-02,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-01-03,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-01-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-01-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-01-12,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-01-16,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
SPY,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-01-02,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-01-03,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-01-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-01-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-01-12,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-01-16,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
TSLA,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-01-02,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-01-03,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-01-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-01-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-01-12,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-01-16,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-01-31,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-02-01,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-03-08,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-03-11,78,78,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-07-03,42,42,0,,False,NO_MISSING_BARS_OBSERVED
XOM,2024-07-05,78,78,0,,False,NO_MISSING_BARS_OBSERVED
