strategy,symbol,qualified_score,composite_score,average_excess_return,average_test_sharpe,closed_trades,average_max_drawdown,average_profit_factor,average_time_in_market_percent,average_exposure_percent,average_cash_percent,average_position_value,average_benchmark_sharpe,average_benchmark_max_drawdown,average_excess_return_per_unit_risk,buy_signals,sell_signals,hold_signals,duplicate_buy_skips,flat_sell_skips,risk_blocked_signals,stop_loss_exits,take_profit_exits,passed_folds,total_folds
buy_and_hold,SPY,-0.35878078322278106,0.6412192167772189,-0.144073006223973,2.7822863607623156,1,0.04463410617484709,0.0,1.0,0.9579253727895094,0.0420746272104906,500.13197133992287,1.6319792896606165,0.09131166161057035,-3.2278680715502555,1,0,40,0,0,0,0,0,0,1
buy_and_hold,AAPL,-0.44160539986513037,0.5583946001348696,-0.2957596579994137,2.690689819070414,1,0.07880987166469525,0.0,1.0,0.9071560931142589,0.09284390688574107,500.1319713399229,1.6658262008343148,0.137614037540634,-3.7528250173754096,1,0,40,0,0,0,0,0,0,1
ensemble_vote,SPY,-1.395585068542017,1.104414931457983,-0.17075568792057583,4.1864847288302744,4,0.012208799886920446,6.0248709326105265,0.9122807017543859,0.3962696360256937,0.6037303639743063,203.44975517640447,1.6319792896606165,0.09131166161057035,-13.986279528056654,4,0,34,0,0,0,3,0,0,1
trend_pullback,SPY,-1.9356611485736592,0.5643388514263408,-0.19049641581202525,2.1052879191153417,3,0.01217703993460577,2.7637807550590607,0.3508771929824561,0.17974951155921548,0.8202504884407845,200.6611940452301,1.6319792896606165,0.09131166161057035,-15.643901706411917,3,0,36,0,0,0,2,0,0,1
trend_pullback,AAPL,-2.75,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ema_rsi_pullback,AAPL,-2.75,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ema_rsi_pullback,SPY,-2.75,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ensemble_vote,AAPL,-2.75,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
