symbol,date,open,high,low,close,adj_close,volume
CCL,1990-01-02,2.587191054224968,2.6034626960754395,2.5709194123744963,2.6034626960754395,2.6034626960754395,304800.0
CCL,1990-01-03,2.6034625572494314,2.6034625572494314,2.5546476343010043,2.5709192752838135,2.5709192752838135,439600.0
CCL,1990-01-04,2.5871919460178163,2.6197352409362793,2.5709202985585846,2.6197352409362793,2.6197352409362793,328000.0
CCL,1990-01-05,2.636005979776382,2.636005979776382,2.5709194123744963,2.6034626960754395,2.6034626960754395,352400.0
CCL,1990-01-08,2.5871908664703365,2.6034625071399615,2.570919225800712,2.587190866470337,2.587190866470337,162400.0
CCL,1990-01-09,2.5709188932027573,2.5871905317673316,2.5383756160736084,2.5383756160736084,2.5383756160736084,199200.0
CCL,1990-01-10,2.522105512680945,2.5383771611498545,2.4895622157431267,2.505833864212036,2.505833864212036,402000.0
CCL,1990-01-11,2.5058333335384244,2.522104978561401,2.4895616885154475,2.5221049785614014,2.5221049785614014,339600.0
CCL,1990-01-12,2.5221047101431333,2.5221047101431333,2.440746493686903,2.4570181369781494,2.4570181369781494,269200.0
CCL,1990-01-15,2.4732897802693956,2.4732897802693956,2.4244748503956575,2.4570181369781494,2.4570181369781494,148800.0
CCL,1990-01-16,2.424474565606368,2.489561131126002,2.4082029242264595,2.4732894897460938,2.4732894897460938,286400.0
CCL,1990-01-17,2.5058332279229623,2.5871914496087727,2.4895615835858,2.5546481609344482,2.5546481609344482,245200.0
CCL,1990-01-18,2.538376623584378,2.538376623584378,2.440746753446517,2.5221049785614014,2.5221049785614014,248400.0
CCL,1990-01-19,2.5058336818919464,2.554648623746984,2.4895620346069336,2.4895620346069336,2.4895620346069336,238000.0
CCL,1990-01-22,2.4895602607727048,2.50583189646403,2.4407453536987305,2.4407453536987305,2.4407453536987305,158800.0
CCL,1990-01-23,2.473290387321921,2.4895620346069336,2.4570187400369083,2.4895620346069336,2.4895620346069336,154000.0
CCL,1990-01-24,2.440746493686903,2.4570181369781494,2.359388277230673,2.4570181369781494,2.4570181369781494,223600.0
CCL,1990-01-25,2.4407462069862764,2.489561131126002,2.4407462069862764,2.4732894897460938,2.4732894897460938,79200.0
CCL,1990-01-26,2.4732897802693956,2.4895614235606414,2.440746493686903,2.4570181369781494,2.4570181369781494,119600.0
CCL,1990-01-29,2.489561131126002,2.522104413885819,2.4570178483661853,2.4732894897460938,2.4732894897460938,146800.0
CCL,1990-01-30,2.457018769449658,2.457018769449658,2.3431172370910645,2.3431172370910645,2.3431172370910645,376400.0
CCL,1990-01-31,2.37565960433032,2.4082028865814205,2.35938796320477,2.408202886581421,2.408202886581421,190400.0
CCL,1990-02-01,2.4407465163975544,2.4407465163975544,2.3593882991843027,2.375659942626953,2.375659942626953,166400.0
CCL,1990-02-02,2.359389066696167,2.3919323641678383,2.3431174179603316,2.359389066696167,2.359389066696167,478000.0
CCL,1990-02-05,2.375660715432003,2.3919323641678383,2.359389066696167,2.359389066696167,2.359389066696167,87200.0
CCL,1990-02-06,2.359389066696167,2.375660715432003,2.3431174179603316,2.359389066696167,2.359389066696167,86000.0
CCL,1990-02-07,2.375659177001093,2.424474091597006,2.2943009860079053,2.310572624206543,2.310572624206543,239200.0
CCL,1990-02-08,2.310572624206543,2.3431159006038182,2.310572624206543,2.310572624206543,2.310572624206543,173600.0
CCL,1990-02-09,2.375659942626953,2.408203229512254,2.3431166557416523,2.375659942626953,2.375659942626953,648400.0
CCL,1990-02-12,2.4082028865814205,2.4082028865814205,2.37565960433032,2.408202886581421,2.408202886581421,162800.0
CCL,1990-02-13,2.4244745277069706,2.4244745277069706,2.3919312454558703,2.408202886581421,2.408202886581421,122800.0
CCL,1990-02-14,2.4082028865814205,2.4082028865814205,2.37565960433032,2.408202886581421,2.408202886581421,248000.0
CCL,1990-02-15,2.375660127522994,2.408203416941117,2.375660127522994,2.3919317722320557,2.3919317722320557,78800.0
CCL,1990-02-16,2.4244737180074054,2.4407453536987305,2.3919304466247557,2.4407453536987305,2.4407453536987305,204400.0
CCL,1990-02-20,2.440746118558333,2.440746118558333,2.3756595553967776,2.4244744777679443,2.4244744777679443,171200.0
CCL,1990-02-21,2.3919312454558703,2.4244745277069706,2.35938796320477,2.408202886581421,2.408202886581421,456400.0
CCL,1990-02-22,2.4239260187212204,2.47305965423584,2.4239260187212204,2.47305965423584,2.47305965423584,76400.0
CCL,1990-02-23,2.4566818256767426,2.4730597045145877,2.391170310325363,2.407548189163208,2.407548189163208,754000.0
CCL,1990-02-26,2.3911699352648434,2.4403035640716553,2.3911699352648434,2.4403035640716553,2.4403035640716553,58800.0
CCL,1990-02-27,2.4566824682827653,2.4566824682827653,2.37479305267334,2.37479305267334,2.37479305267334,269200.0
CCL,1990-02-28,2.3911705118544555,2.3911705118544555,2.276525350327187,2.30928111076355,2.30928111076355,454800.0
CCL,1990-03-01,2.292903817218283,2.292903817218283,2.211014395174773,2.260148048400879,2.260148048400879,822400.0
