identity_state,disposition,symbol_count
IDENTITY_LIMITED,ANCHOR_OVERLAP,299
IDENTITY_LIMITED,ELIGIBILITY_AUTHORITY_MISSING,2
IDENTITY_LIMITED,PARTIAL_DS03_AUTHORITY_PRESENT,213
