observed_symbol,security_id,identity_state,ever_ds03_included,anchor_overlap_symbol,disposition
ALK,t62_sec_211da2afe4d39dcb405b,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
ALL,t62_sec_77758932ee90a11ed59a,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
ALV,t62_sec_4fa04a28d2833dc66c3e,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AMAT,t62_sec_920132e2b87fa7b5a895,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AMD,t62_sec_17af774d9fc670df7878,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AME,t62_sec_88f85a61ba7bc2eee26b,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AMG,t62_sec_426c287862436d0c3ca3,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AMGN,t62_sec_16659657a577fbb03683,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AMKR,t62_sec_5aef5810752dc410e7e7,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AMN,t62_sec_867ed607da439176dc3d,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
AMSC,t62_sec_4a20d7807c0bebf7685c,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AMT,t62_sec_a13d77c9ddbe7ef2efb3,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
AMX,t62_sec_583d49a65220832b32fb,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
AMZN,t62_sec_0224099d10eabc2efcfe,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AN,t62_sec_a981664fdba97c2fc538,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
ANDE,t62_sec_e1d3008b765253416813,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
ANF,t62_sec_271b13e32799e0dd58fa,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
ANGO,t62_sec_3c6b0b2e04e289dda348,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
ANIK,t62_sec_c4aa893af7911d221ff7,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
ANIP,t62_sec_76ba05832d6ce370f8d7,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
ANIX,t62_sec_21530f6be7cb12562279,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
AON,t62_sec_00d7b5a811781b271185,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AOS,t62_sec_88180b5491beb50fc7cb,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
APA,t62_sec_b5367d597e55b2b82b78,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
APD,t62_sec_a38bfd25807cf9c27371,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
APH,t62_sec_2919058641f4531f187c,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
APOG,t62_sec_fb8aa298333eb963247a,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
APT,t62_sec_f2a280b9ced446de84e7,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
ARCB,t62_sec_c3d2f22803946e14f966,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
ARCC,t62_sec_0ecb53b97c8f4d9b8b73,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
ARLP,t62_sec_3ed3193b0bf4f1e899b2,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
ARMP,t62_sec_4c61fd323297f6e79a8e,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
AROW,t62_sec_7b5a3d7e1a553033ea28,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
ARW,t62_sec_e0a896e61293ca81eaea,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
ASA,t62_sec_486306dd69d5ccc1e0ed,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
ASG,t62_sec_afb37c1ae4aa82540814,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
ASH,t62_sec_15064b4f89a79ceba49d,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
ASML,t62_sec_71c9ab605a432007ef9a,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
ASR,t62_sec_b408fee77d1bd30385ad,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
