observed_symbol,classification,research_rows_admitted_by_C2
AIG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AIN,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AIR,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AIT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AIV,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AIZ,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AJG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AKAM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AKR,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
ALB,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ALGN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ALK,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ALL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ALV,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AMAT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AMD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AME,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AMG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AMGN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AMKR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AMN,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AMSC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AMT,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
AMX,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AMZN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ANDE,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
ANF,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ANGO,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
ANIK,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
ANIP,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
ANIX,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
AON,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AOS,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
APA,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
APD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
APH,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
APOG,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
APT,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
ARCB,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
ARCC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ARLP,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
ARMP,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
AROW,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
ARW,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ASA,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
ASG,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
ASH,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
ASML,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ASR,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
ASTE,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
ATI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ATO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ATR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ATRO,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AU,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
AUB,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AUDC,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AVA,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
AVD,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AVGO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AVK,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
AVNT,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AVT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AVY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AWF,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
AWR,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AXGN,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
AXON,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AXP,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AXS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AXTI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AYI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AZN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AZO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
AZTA,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
B,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BA,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BAC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BALL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BANF,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BAX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BB,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BBAR,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BBBY,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BBD,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BBSI,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BBT,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BBVA,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BBW,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BBWI,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BBY,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BCE,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BCO,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BCPC,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BCRX,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BCS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BCV,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BDC,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BDN,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BDX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BELFB,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BFH,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BFS,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BGC,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BGR,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BGT,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BH,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BHC,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BHE,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BHK,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BHP,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BIIB,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BIO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
