observed_symbol,classification,research_rows_admitted_by_C2
MCO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MDT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MET,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
META,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MITK,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
MKC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MMM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MNST,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MO,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
MRK,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MRSH,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
MRVL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MS,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
MSA,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
MSFT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MSI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MTB,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
MTG,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
MU,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NBR,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
NEE,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NEM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NFLX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NI,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
NKE,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NOC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NOVT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NOW,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NSC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NTAP,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NTRS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NVDA,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
NWL,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
NYT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ODFL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
OMC,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
ORCL,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
OXY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
PANW,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
PAYX,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
PBI,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
PCAR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
PEG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
PEP,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
PFE,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
PFG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
PG,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
PGR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
PH,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
PHM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
PLD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
PNC,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
PNW,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
PPG,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
PPL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
PPLI,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
PRDO,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
PRU,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
PTEN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
QCOM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
QQQ,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
R,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
RAVE,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
RF,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
RHI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
RIG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
RIO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ROK,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ROST,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
RTX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
RVTY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
RYAAY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SANM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SBRA,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
SBUX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SCHW,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SEB,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
SHW,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SLB,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SLM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SMFG,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
SNA,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SNPS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SPG,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
SPGI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SPY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SRE,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
STT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SWK,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
SYK,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
SYY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
T,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
TER,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
TEVA,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
TFC,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
TGT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
THC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
TJX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
TKO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
TLT,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
TMO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
TROW,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
TSLA,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
TT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
TXN,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
TXT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
UIS,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
UNH,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
UNM,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
UNP,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
UPS,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
UTF,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
V,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
VFC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
VIAV,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
VMC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
VNQ,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
VRSN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
VYX,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
VZ,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
WAT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
WEC,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
WEN,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
WFC,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
WHR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
WMB,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
WMT,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
WOR,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
WWD,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
WY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XEL,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XLB,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XLE,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XLF,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XLI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XLK,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XLP,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XLU,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XLV,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XLY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XOM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
XOMA,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
XRAY,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
XRX,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
YUM,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ZBH,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
ZION,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
